Angela Alonso,USP
Cornelia Eckert,UFRGS
Fabiano Santos,IESP-UERJ
Adrian Gurza Lavalle  Editor,USP
Adalberto Moreira Cardoso,IESP-UERJ
André Pereira Botelho,UFRJ
Anete Brito Leal Ivo,UFBA
Jose Mauricio Arruti,UNICAMP
Álvaro Pires,Ottawa
Andrés Malamud,Universidade de Lisboa
Antonio Sérgio Guimarães,Usp
Arlene B. Tickner,Universidad de Los Andes
Ben Ross Schneider,MIT
Bernard Lahire,Lyon
Bruno Reis,UFMG
Carlo Severi,École des hautes études en sciences sociales
Cesar Barreira,UFC
Cornélia Eckert,UFRGS
Eduardo Marques,Usp
Eveline Huber,University of North Carolina
Fabiano Santos,Iesp/Uerj
Fernanda Arêas Peixoto,USP
José Vicente Tavares dos Santos,UFRGS
Leticia Pinheiro,Puc-Rio
Lucas Petroni,USP
Luiz Fernando Dias Duarte,UFRJ
Manuela Carneiro da Cunha,University of Chicago
Marcelo Medeiros,UFPE
Michel Wieviorka,EHESS/CNRS
Philippe Descola,College de France
Tim Ingold,University of Aberdeen
Marcia Lima  Editora,USP
Artionka Manuela Góes Capiberibe,UNICAMP
Cristina S. Pecequilo,UNIFESP
Gabriel Feltran,UFSCar
Osmany Porto,Unifesp
Oswaldo E. do Amaral,UNICAMP
Raíssa Whiby Ventura,USP
Alex Keyssar,University of Harvard
Brasílio Sallum,USP
Charles Pessanha,UFF
Edna Castro,NAEA/UFPA
Elide Rugai Bastos,Unicamp
Letícia Calderón Chelius,Instituto Mora
Lúcia Bogus,PUC-SP
Marcos Costa Lima,UFPE
Maria Helena de Castro Santos,UnB
Par Engstrom,College of London
Ricardo Benzaquen de Araújo,PUC-Rio
Ruben George Oliven,UFRGS
Emerson Alessandro Giumbelli,UFRGS
Marcos Ferreira da Costa Lima,UFPE
John Comerford,MN/UFRJ
Lucio Rennó,UnB
Marcelo Sampaio Carneiro,UFMA
Maria Rosário Gonçalves de Carvalho,UFBA
Renato Perissinotto,UFPR
Ricardo Silva,UFSC
Roberto Véras de Oliveira,UFPB
Ana Luisa Sallas,UFPR
Edgar Teodoro da Cunha,UNESP
Miguel Chaia,PUC-SP
Antônio Carlos de Souza Lima,MN/UFRJ - ABA
Carlos Benedito Martins,UnB - SBS
Eugênio Diniz,PUC Minas - ABRI
Guita Grin Debert,UNICAMP
Gustavo Lins Ribeiro,UnB
Luiz Werneck Vianna,PUC-Rio
Marcelo Ridenti,UNICAMP
Marcos Costa Lima,UFPE
Maria Alice Rezende de Carvalho,PUC-Rio
Maria Arminda do Nascimento Arruda,USP
Maria Filomena Gregori,UNICAMP
Maria Hermínia Tavares de Almeida,USP
Otavio Velho,MN/UFRJ
Renato Monseff Perissinotto,UFPR -ABCP
Roque de Barros Laraia,UnB
Ruben Oliven,UFRGS
Sergio Miceli,USP
Tullo Vigevani,UNESP; San Tiago Dantas
Consultoria Jurídica
Conrado Hübner Mendes,USP
Claudia Lee Fonseca,UFRGS
Eduardo Viola,UnB
José Ricardo Ramalho,UFRJ
Marcos Cesar Alvarez  editor,USP
